'id';'lineEnd';'commaSep';'opAssign';'colonSep';'tInt';'tFloat';'tBool';'tChar';'tString';'arrayBeg';'arrayEnd';'consNumInt';'consNumFlo';'consBool';'consChar';'consString';'arraybeg';'opLogicOr';'opLogicAnd';'opEquals';'opRel';'opPlus';'opMinus';'opMult';'opExp';'paramBeg';'paramEnd';'opUnMinus';'opNot';'rwLength';'rwWhile';'rwFor';'rwIf';'rwElif';'rwElse';'rwPrint';'rwRead';'main';'rwVoid';'scopeBeg';'scopeEnd';'rwReturn';$
r52;;;;;;;;;;;;r52;r52;r52;r52;r52;r52;;;;;;;;;r52;;r52;r52;r52;r52;r52;r52;;;r52;r52;;;;r52;r52;
;s172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;s174;;;;;;;;;;;;;;;;;;;;;;;;;;s173;;;;;;;;;;;;;;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s33;;;
;s177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;s179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;r50;r50;r50;;;;;;;r50;r50;;;;;;;r50;r50;r50;r50;r50;r50;r50;r50;;r50;;;;;;;;;;;;;r50;;;
r53;;;;;;;;;;;;r53;r53;r53;r53;r53;r53;;;;;;;;;r53;;r53;r53;r53;r53;r53;r53;;;r53;r53;;;;r53;r53;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s33;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s33;;;
r60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r60;r60;r60;;;r60;r60;;;;r60;r60;
r61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r61;r61;r61;;;r61;r61;;;;r61;r61;
;;s143;;;;;;;;;;;;;;;;;;;;;;;;;s184;;;;;;;;;;;;;;;;
r63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r63;r63;r63;;;r63;r63;;;;r63;r63;
;;s143;;;;;;;;;;;;;;;;;;;;;;;;;s185;;;;;;;;;;;;;;;;
r55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r55;r55;r55;;;r55;r55;;;;r55;r55;
;;;;;;;;;;;;;;;;;;;;;;;;;;;s186;;;;;;;;;;;;;;;;
r58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r58;r58;r58;;s187;r58;r58;;;;r58;r58;
;s188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;s189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s33;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s33;;;
r62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r62;r62;r62;;;r62;r62;;;;r62;r62;
r64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r64;r64;r64;;;r64;r64;;;;r64;r64;
r56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r56;r56;r56;;;r56;r56;;;;r56;r56;
r59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r59;r59;r59;;;r59;r59;;;;r59;r59;
